"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.409033250E-1,2.591368675E0,2.953395844E-1,8.151340485E-2,2.609417850E0
5.491540560E-1,2.558022499E0,5.786666870E-1,2.704483271E-1,2.636565292E0
5.573452300E-1,2.063396454E0,1.665912628E0,3.137520552E-1,2.670451303E0
5.655575380E-1,1.246991873E0,2.745801926E0,-3.354274035E-1,3.034292090E0
5.737972860E-1,1.230807066E0,3.155017853E0,-8.193448782E-1,3.484300463E0
5.820098250E-1,1.756512642E0,2.615887642E0,-1.164955735E0,3.359364029E0
5.898633450E-1,2.176568508E0,1.937688828E0,-1.198047876E0,3.150778821E0
5.980066150E-1,2.689239979E0,1.168517113E0,-6.684772968E-1,3.007375235E0
6.061523450E-1,3.534980297E0,5.449142456E-1,-1.758359671E-1,3.581052293E0
6.145553450E-1,3.810528517E0,7.768726349E-2,-2.248808146E-1,3.817948961E0
6.230724010E-1,3.837715387E0,-4.621934891E-1,8.699417114E-3,3.865457010E0
6.312967680E-1,3.867992401E0,-1.047668934E0,2.076549530E-1,4.012741705E0
6.395352090E-1,4.693364143E0,-1.480074406E0,-9.960603714E-2,4.922215821E0
6.477311910E-1,5.926550865E0,-1.868651390E0,-5.152853727E-1,6.235493741E0
6.559534010E-1,5.823431969E0,-1.675271034E0,-4.313421249E-2,6.059765135E0
6.641687860E-1,4.865788460E0,-1.355514050E0,-1.535159349E-1,5.053403093E0
6.720143450E-1,2.967283487E0,-1.114943504E0,-1.440727711E-2,3.169870326E0
6.801892680E-1,1.531065464E0,-1.680755615E0,2.377203703E-1,2.285959726E0
6.883059610E-1,1.707991004E0,-1.472662926E0,5.148509741E-1,2.313231698E0
6.966820380E-1,2.382147789E0,-7.107543945E-1,9.253485203E-1,2.652559101E0
7.052348630E-1,3.632489204E0,1.366148949E0,3.885387778E-1,3.900295265E0
7.134777090E-1,4.714406967E0,4.403372765E0,-1.045831442E-1,6.451841783E0
7.216971700E-1,4.291044235E0,1.024050903E1,-8.077496290E-1,1.113254442E1
7.298543070E-1,3.840988398E0,1.588875389E1,8.849083185E-1,1.637036209E1
