"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.630482500E-1,1.168949158E1,2.757266235E0,5.954317932E0,1.340524645E1
6.731182500E-1,1.120420074E1,3.058439941E0,5.735622711E0,1.295320567E1
6.831892499E-1,1.085123474E1,2.769091644E0,5.376519470E0,1.242272617E1
6.932592500E-1,1.073163345E1,2.226470032E0,5.019511871E0,1.205490045E1
7.033292500E-1,1.096125595E1,1.830693054E0,4.781955872E0,1.209825074E1
7.134003750E-1,1.140253830E1,1.577419739E0,4.637356567E0,1.241012525E1
7.234713749E-1,1.190414520E1,1.323397980E0,4.659061432E0,1.285172785E1
7.335413750E-1,1.225112366E1,9.175918579E-1,5.001249847E0,1.326440748E1
7.436113750E-1,1.230546066E1,6.045927429E-1,5.592220917E0,1.353007130E1
7.536813749E-1,1.187600372E1,4.578977966E-1,6.090384979E0,1.335447206E1
7.637513750E-1,1.106948090E1,2.633024597E-1,6.275849304E0,1.272749072E1
7.738223750E-1,1.010398865E1,1.118174744E-1,6.146368561E0,1.182712713E1
7.838923750E-1,9.180109863E0,-1.017883301E-2,5.695805511E0,1.080355132E1
7.939623750E-1,8.539142761E0,-2.195933533E-1,4.815785522E0,9.805966068E0
8.040323750E-1,8.102500763E0,-4.692741394E-1,3.799848175E0,8.961561414E0
8.141023749E-1,7.886350250E0,-6.078858948E-1,2.979853363E0,8.452429923E0
8.241733750E-1,8.132588196E0,-5.119354248E-1,2.573598175E0,8.545435987E0
8.342433750E-1,8.677006073E0,-1.630110168E-1,2.538571014E0,9.042198282E0
8.443133750E-1,9.068142700E0,3.619473267E-1,2.730771332E0,9.477306050E0
8.543833750E-1,9.032516785E0,8.382568359E-1,3.023712158E0,9.562001318E0
8.644543750E-1,8.648265839E0,1.008153534E0,3.399730225E0,9.347033816E0
8.745243750E-1,7.985593872E0,9.244775391E-1,3.883823547E0,8.927959092E0
8.845943750E-1,7.269333344E0,7.884104919E-1,4.386627960E0,8.526857758E0
8.946643750E-1,6.501430206E0,8.234376526E-1,4.734953613E0,8.084950836E0
9.047343750E-1,5.768404541E0,1.008003845E0,4.864584045E0,7.612801103E0
9.148053750E-1,5.225932617E0,1.166823578E0,4.718188477E0,7.136746561E0
9.248753750E-1,4.937482452E0,1.308728485E0,4.334236908E0,6.699038199E0
9.349453750E-1,4.784350891E0,1.364412689E0,3.878584442E0,6.308332007E0
