"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.252666581E-3,-9.081614685E-1,4.158352661E-1,6.137686615E0,6.218430124E0
1.132266666E-2,-8.009843445E-1,1.640588379E-1,6.065237274E0,6.120097582E0
2.139166661E-2,-6.676116943E-1,-1.481918335E-1,6.218069458E0,6.255561844E0
3.146166669E-2,-5.812413025E-1,-3.606001282E-1,6.798262939E0,6.832587570E0
4.153066664E-2,-8.485853577E-1,-2.230361938E-1,7.341782684E0,7.394025645E0
5.160066660E-2,-1.238524475E0,5.134323120E-2,7.818241882E0,7.915900778E0
6.166966667E-2,-1.480870514E0,3.778143311E-1,8.228688354E0,8.369410564E0
7.173966663E-2,-1.774559784E0,6.617738342E-1,8.380173340E0,8.591525606E0
8.180866658E-2,-2.061063995E0,8.469387817E-1,8.559500427E0,8.844791555E0
9.187866666E-2,-2.217039642E0,1.157393188E0,8.771609344E0,9.121181626E0
1.019476666E-1,-2.225871277E0,1.554816742E0,8.951834564E0,9.354533666E0
1.120176667E-1,-2.196232910E0,1.864522705E0,9.043294373E0,9.491104099E0
1.220866666E-1,-2.207908630E0,2.114053802E0,9.135203247E0,9.633069208E0
1.321566666E-1,-2.259401550E0,2.252366180E0,9.392667847E0,9.919690421E0
1.422256667E-1,-2.334545288E0,2.282603302E0,9.827513580E0,1.035569422E1
1.522956666E-1,-2.409239960E0,2.312091980E0,1.019709503E1,1.072990930E1
1.623646666E-1,-2.386187897E0,2.334694977E0,1.047566574E1,1.099473811E1
1.724346667E-1,-2.224524078E0,2.455643463E0,1.068223618E1,1.118431321E1
1.825036666E-1,-2.043400726E0,2.449206848E0,1.087099365E1,1.132928081E1
1.925736666E-1,-1.963017883E0,2.253264313E0,1.102592148E1,1.142372898E1
2.026426666E-1,-1.883832550E0,2.061513062E0,1.111363907E1,1.145912887E1
2.127126666E-1,-1.815275116E0,1.997595978E0,1.115689911E1,1.147876349E1
2.227816667E-1,-1.782792664E0,2.151176605E0,1.112037506E1,1.146597802E1
2.328506666E-1,-1.806293793E0,2.426454163E0,1.118504059E1,1.158686800E1
2.429206666E-1,-1.910327454E0,2.716251526E0,1.139580231E1,1.186978027E1
2.529896667E-1,-1.942809906E0,2.973865814E0,1.172616531E1,1.225240145E1
2.630596666E-1,-1.817221069E0,3.118465118E0,1.225935654E1,1.277962988E1
2.731286667E-1,-1.506916351E0,3.049608307E0,1.281185760E1,1.325573849E1
2.831986666E-1,-9.894424438E-1,2.821482697E0,1.318922287E1,1.352388113E1
2.932676666E-1,-2.769241333E-1,2.406545563E0,1.318428314E1,1.340497932E1
3.033376667E-1,5.556445312E-1,1.907932434E0,1.273506729E1,1.288917709E1
3.134066666E-1,1.023571472E0,1.449286194E0,1.191926376E1,1.205060072E1
