"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.063332988E-4,-3.434158630E0,1.291214905E0,1.300435730E1,1.351199431E1
1.037533325E-2,-3.863465881E-1,-5.556445312E-1,1.476873825E1,1.478423600E1
2.044533333E-2,-9.285191345E-1,1.199755096E0,9.891730042E0,1.000739143E1
3.051433328E-2,-5.569617920E0,4.863985291E0,1.603121292E1,1.765442677E1
4.058333323E-2,-1.160431870E1,3.755839691E0,2.758867905E1,3.016457783E1
5.065333331E-2,-1.466500397E0,6.600374451E0,2.032189041E1,2.141716125E1
6.072233326E-2,-2.225122833E0,8.402177582E0,1.030023056E1,1.347748156E1
7.079233334E-2,-9.982591095E0,1.062041473E0,8.757837982E0,1.332215385E1
8.086133329E-2,-8.183332672E0,-1.681603088E0,5.279670868E0,9.882795507E0
9.093033324E-2,-7.449857941E0,-2.491269379E0,3.153941345E0,8.464877581E0
1.010003333E-1,-5.933361511E0,2.650987244E-1,4.648134155E0,7.541896796E0
1.110693333E-1,-6.136489105E0,1.495839386E0,3.513194275E0,7.227486978E0
1.211383332E-1,-5.996829529E0,3.083587646E0,5.848637695E0,8.926199643E0
1.312083333E-1,-7.192992096E0,4.237687683E0,1.011790970E1,1.311751611E1
1.412773333E-1,-7.839797058E0,4.275858307E0,8.502319336E0,1.233023991E1
1.513463333E-1,-5.802533569E0,5.010680237E0,9.434431000E0,1.215667720E1
1.614163333E-1,-4.141437836E0,5.638774109E0,9.407037964E0,1.172346553E1
1.714853332E-1,-4.101321259E0,4.159101105E0,8.499026184E0,1.031273020E1
1.815553333E-1,-2.446362762E0,2.165696411E0,6.799460449E0,7.543712224E0
1.916243333E-1,-5.957611084E-2,2.671793976E0,6.505022736E0,7.032592207E0
2.016933333E-1,-2.495310974E-1,3.260220337E0,7.069498901E0,7.789038267E0
2.117633333E-1,-8.547225952E-2,2.725831604E0,6.876400452E0,7.397455415E0
2.218323332E-1,1.145567780E0,2.827170868E0,7.657326508E0,8.242564522E0
2.319013333E-1,3.267555084E0,3.291654968E0,9.263636169E0,1.035986794E1
2.419713333E-1,5.265300751E0,2.152224426E0,1.409648621E1,1.520086791E1
2.520403332E-1,3.821702728E0,1.472487946E0,1.049991531E1,1.127039725E1
2.621093333E-1,2.139351196E0,6.701564026E-1,8.188272400E0,8.489625318E0
2.721793333E-1,7.213499451E-1,-3.341052246E-1,9.298064575E0,9.331986760E0
2.822483333E-1,-1.329385529E0,-1.896855469E0,9.994416504E0,1.025932200E1
2.923183333E-1,-4.179159393E0,-2.919528809E0,1.103265747E1,1.215354074E1
3.023873332E-1,-7.905660095E0,-3.447480927E0,1.134730316E1,1.425292515E1
3.124563333E-1,-1.230830475E1,-3.482208710E0,1.100900665E1,1.687656277E1
3.225263333E-1,-1.468730759E1,-3.962110748E0,1.049482590E1,1.848125256E1
3.325953333E-1,-1.139280853E1,-2.101180573E0,1.255783585E1,1.708538227E1
3.426643333E-1,-6.052663422E0,-4.323010254E-1,9.263935547E0,1.107439030E1
3.527343333E-1,-2.731370087E0,3.867956543E-1,7.835755463E0,8.307169018E0
3.628033333E-1,-1.925745392E0,1.288819885E-1,7.661218414E0,7.900593236E0
3.728723333E-1,-3.277584229E0,-9.930349731E-1,7.090155945E0,7.873943622E0
3.829423332E-1,-2.277962952E0,-9.162446594E-1,8.228838043E0,8.587339229E0
3.930113333E-1,-1.468745728E0,-5.104385376E-2,9.229357452E0,9.345633123E0
4.030813333E-1,-2.718646545E0,1.191073151E0,9.679321747E0,1.012417719E1
4.131503333E-1,-8.395441589E0,1.030157776E0,7.410938873E0,1.124574051E1
4.232193333E-1,-8.378826141E0,1.894759827E0,8.853788452E0,1.233630464E1
4.332893332E-1,-7.652237091E0,1.817370758E0,9.220825195E0,1.211953738E1
4.433583333E-1,-9.360335083E0,6.339317322E-1,7.651788025E0,1.210651074E1
4.534273333E-1,-9.479187927E0,6.057902527E-1,8.312364349E0,1.262209914E1
4.634973332E-1,-7.819289703E0,1.259780273E0,8.989705811E0,1.198094939E1
4.735663333E-1,-6.201154633E0,1.876946869E0,8.818611603E0,1.094281312E1
4.836363333E-1,-4.579876099E0,2.193688202E0,8.348439331E0,9.771590058E0
4.937053333E-1,-2.706671448E0,1.546583862E0,7.346273346E0,7.980333580E0
5.037743333E-1,-1.758094025E0,8.443940735E-1,6.991361389E0,7.258307656E0
5.138443332E-1,-2.346969452E0,4.089495850E-1,6.370302887E0,6.801195795E0
5.239133333E-1,-3.362607422E0,7.170089722E-2,5.765859833E0,6.675133654E0
5.339823333E-1,-3.879033508E0,-9.699829102E-2,5.211113434E0,6.497077254E0
5.440523333E-1,-4.519551544E0,1.800755310E-1,5.187013550E0,6.882142321E0
5.541213333E-1,-4.792583771E0,3.336561584E-1,5.533992004E0,7.328386803E0
5.641903332E-1,-6.363566895E0,5.059478760E-1,6.137985992E0,8.855836432E0
5.742603333E-1,-8.660240936E0,9.583071899E-1,8.604257355E0,1.224546326E1
5.843293333E-1,-7.915988617E0,1.159339142E0,9.870623932E0,1.270575302E1
5.943993332E-1,-8.350984039E0,7.815248108E-1,1.041429337E1,1.337188176E1
6.044683333E-1,-7.704179077E0,6.496490479E-1,1.003977219E1,1.267175776E1
6.145373333E-1,-6.695426788E0,6.870712280E-1,8.935368805E0,1.118667164E1
6.246073333E-1,-6.980733490E0,6.994953918E-1,7.762108612E0,1.046280383E1
6.346763333E-1,-6.973398743E0,9.403445435E-1,6.429130554E0,9.531330315E0
