"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.013458336E-3,6.158193970E-1,6.497987366E-1,-1.007764343E1,1.011733014E1
1.308245829E-2,1.094224548E-1,6.592291260E-1,-9.906549225E0,9.929062084E0
2.315145836E-2,2.017803955E-1,7.755372620E-1,-9.601184235E0,9.634568599E0
3.322045831E-2,-8.936416626E-2,1.331331482E0,-9.608818359E0,9.701021582E0
4.328945838E-2,4.565505981E-2,8.527766418E-1,-9.866432648E0,9.903322956E0
5.335845833E-2,1.384171600E0,-4.969665527E-2,-9.613009644E0,9.712278578E0
6.342745828E-2,2.033072205E0,-6.728507996E-1,-9.302255859E0,9.545578812E0
7.349645835E-2,1.911375275E0,-7.945477295E-1,-9.336684265E0,9.563385102E0
8.356545831E-2,2.504142609E0,6.661148071E-2,-9.579778748E0,9.901885080E0
9.363445838E-2,1.836530914E0,3.330574036E-1,-1.008872040E1,1.025992458E1
1.037034583E-1,1.396296387E0,2.685415649E-1,-9.189540253E0,9.298892850E0
1.137724584E-1,1.658700714E0,-3.194357300E-1,-8.656798096E0,8.820061253E0
1.238414583E-1,2.575843506E0,-1.143921204E0,-8.618777161E0,9.067901920E0
1.339104583E-1,3.277434540E0,-1.878593445E0,-8.862470398E0,9.634006023E0
1.439794584E-1,1.906136169E0,-1.346300354E0,-9.286987610E0,9.575699379E0
1.540484583E-1,7.167095947E-1,8.083190918E-2,-9.451046448E0,9.478527597E0
1.641174584E-1,9.377998352E-1,1.209634552E0,-1.035501663E1,1.046752376E1
1.741864583E-1,1.306183777E0,1.692829742E0,-1.031609756E1,1.053535275E1
1.842554583E-1,9.470805359E-1,1.309776306E0,-9.528734894E0,9.664846827E0
1.943244584E-1,1.283580780E0,9.557624817E-1,-9.420210571E0,9.555178112E0
2.043934583E-1,1.113235016E0,1.040935364E0,-9.780960388E0,9.898991097E0
2.144624584E-1,7.596702576E-1,1.287173309E0,-9.968370667E0,1.007979800E1
2.245314583E-1,7.544311523E-1,1.430724792E0,-1.022957748E1,1.035665947E1
