"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.226712917E-1,-2.574645996E-2,-1.960233673E1,-4.662803650E-1,1.960789855E1
6.327392916E-1,6.342311096E-1,-2.046349594E1,-2.236349487E-1,2.047454341E1
6.428082917E-1,1.026864624E0,-2.130803970E1,5.806425476E-1,2.134066898E1
6.528772917E-1,1.335522766E0,-2.179348022E1,1.313817902E0,2.187385469E1
6.629452917E-1,9.964778137E-1,-2.214494934E1,1.891915741E0,2.224794585E1
6.730142917E-1,4.161346436E-1,-2.242681320E1,2.121538239E0,2.253077990E1
6.830832917E-1,-3.941304016E-1,-2.255853928E1,2.091001740E0,2.265866989E1
6.931522917E-1,-1.289867706E0,-2.247022293E1,2.200424194E0,2.261452064E1
7.032202916E-1,-2.090702362E0,-2.211231720E1,2.555186462E0,2.235742799E1
7.132892917E-1,-2.446961517E0,-2.164394119E1,3.739074554E0,2.210041831E1
7.233582917E-1,-2.424657898E0,-2.133618118E1,5.694757690E0,2.221580200E1
7.334272917E-1,-2.165995789E0,-2.084370529E1,7.075636139E0,2.211823263E1
7.434952917E-1,-1.653461609E0,-1.997491196E1,7.275320892E0,2.132278915E1
7.535642918E-1,-9.828561401E-1,-1.887709488E1,6.397546234E0,1.995593433E1
7.636332917E-1,-2.356100464E-1,-1.771895325E1,4.977599030E0,1.840633881E1
7.737012916E-1,1.779798889E-1,-1.670675812E1,3.666475525E0,1.710527657E1
7.837702917E-1,3.469784546E-1,-1.586490875E1,2.792293396E0,1.611249907E1
7.938392917E-1,5.146298218E-1,-1.531315613E1,2.145039368E0,1.547122453E1
8.039082917E-1,7.708969116E-1,-1.497530869E1,1.634900208E0,1.508399983E1
8.139762917E-1,9.452842712E-1,-1.469284607E1,1.730251923E0,1.482454248E1
8.240452916E-1,8.756790161E-1,-1.382989059E1,2.665357361E0,1.411158451E1
8.341142917E-1,5.926176453E-1,-1.274389893E1,3.643423462E0,1.326773116E1
8.441822917E-1,2.538720703E-1,-1.170820267E1,3.920946350E0,1.234991016E1
8.542512917E-1,-2.345622253E-1,-1.029364426E1,3.280727692E0,1.080635488E1
8.643202917E-1,-3.673361206E-1,-8.630303192E0,2.426304474E0,8.972403380E0
8.743892917E-1,-2.998265076E-1,-7.125632172E0,1.937421112E0,7.390407996E0
8.844572917E-1,-1.594184875E-1,-5.522915039E0,2.267784119E0,5.972507814E0
8.945262916E-1,-1.806742859E-1,-3.831731873E0,3.336860962E0,5.084235775E0
9.045952917E-1,-4.637356567E-1,-2.336640930E0,3.674109650E0,4.378815287E0
9.146642917E-1,-9.485774231E-1,-1.371597748E0,3.062631226E0,3.487232360E0
9.247322917E-1,-1.255888367E0,-9.168434143E-1,2.307451630E0,2.782479193E0
9.348012917E-1,-1.337618408E0,-6.304888916E-1,1.542392578E0,2.136753171E0
9.448702917E-1,-1.136885834E0,-3.980223083E-1,1.253493347E0,1.738440890E0
9.549382917E-1,-9.214837646E-1,-3.969744873E-1,1.438658295E0,1.753983683E0
9.650072916E-1,-1.018032990E0,-4.616400146E-1,1.433868256E0,1.818098140E0
9.750757084E-1,-9.608518982E-1,-2.571652222E-1,1.225351868E0,1.578245076E0
9.851447083E-1,-9.412426758E-1,5.343887329E-2,8.116122437E-1,1.243988715E0
9.952127084E-1,-9.286688232E-1,2.754272461E-1,1.707948303E-1,9.835938314E-1
1.005281708E0,-6.083349609E-1,2.758763123E-1,-6.210585022E-1,9.120815904E-1
1.015350708E0,-1.302291870E-2,-4.565505981E-2,-1.907782745E0,1.908373387E0
1.025418708E0,5.019062805E-1,-1.138382721E0,-3.548670502E0,3.760437137E0
1.035487708E0,1.023272095E0,-2.329605560E0,-4.504732361E0,5.173660357E0
1.045556708E0,1.326391754E0,-2.899320831E0,-4.670288086E0,5.654818050E0
1.055625708E0,8.388555908E-1,-3.239263916E0,-4.277504883E0,5.430797128E0
1.065693708E0,3.330574036E-1,-3.491938477E0,-3.308569794E0,4.821949361E0
1.075762708E0,-7.185058594E-3,-3.610791321E0,-2.736459503E0,4.530571288E0
1.085831708E0,-4.775070190E-1,-3.450025635E0,-2.231409760E0,4.136408992E0
1.095899708E0,-6.620732117E-1,-3.291804657E0,-1.755399628E0,3.788897820E0
1.105968708E0,-7.447013855E-1,-3.028053131E0,-1.746118927E0,3.573879856E0
1.116037708E0,-5.087919617E-1,-2.760110321E0,-1.879790955E0,3.377971622E0
1.126106708E0,-2.297721863E-1,-2.645299072E0,-1.926643524E0,3.280603254E0
1.136174708E0,-8.158035278E-2,-2.564018097E0,-1.833686829E0,3.153292175E0
1.146243708E0,1.225950623E-1,-2.521057434E0,-1.504371643E0,2.938348886E0
1.156312708E0,3.056643677E-1,-2.430645447E0,-1.166823578E0,2.713474757E0
1.166380708E0,1.944456482E-1,-2.396965485E0,-9.288185120E-1,2.577975266E0
1.176449708E0,-2.311193848E-1,-2.131717072E0,-9.538165283E-1,2.346784995E0
1.186518708E0,-5.179229736E-1,-1.632205811E0,-8.873547363E-1,1.928662345E0
1.196587708E0,-1.297801208E0,-1.502276001E0,-6.087840271E-1,2.076472767E0
1.206655708E0,-1.839225311E0,-1.075663147E0,-5.343887329E-1,2.196673000E0
1.216724708E0,-2.178419952E0,-3.165916443E-1,-1.713935852E-1,2.207967282E0
1.226793708E0,-2.350561981E0,3.746708679E-1,-1.297801208E-1,2.383770703E0
1.236862708E0,-2.408790894E0,4.558021545E-1,-9.859996033E-1,2.642389901E0
1.246930708E0,-2.124082947E0,1.312770081E-1,-1.499431915E0,2.603316747E0
1.256999708E0,-1.671873322E0,-5.830375671E-1,-1.546583862E0,2.350960410E0
1.267068708E0,-1.353335724E0,-1.260379028E0,-1.265917511E0,2.241120260E0
1.277136708E0,-1.049617310E0,-1.796863403E0,-5.504054260E-1,2.152524267E0
1.287205708E0,-6.968009949E-1,-2.026485901E0,8.637039185E-2,2.144676334E0
1.297274708E0,-7.749385071E-1,-3.318000183E0,4.432283020E-1,3.436001489E0
