"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.192708383E-3,-1.266531235E1,2.589764557E0,1.277593231E0,1.299035264E1
1.126270834E-2,-1.272638535E1,2.647245026E0,4.086502075E-1,1.300522146E1
2.133170841E-2,-9.044042816E0,3.279380493E0,1.363065491E0,9.716326179E0
3.140070837E-2,-1.522034912E0,6.089037781E0,3.081641693E0,6.992101751E0
4.147070833E-2,-2.916984100E0,8.044720917E0,-4.802014160E-1,8.570701504E0
5.153970839E-2,-5.217849426E0,8.049660645E0,-3.135829010E0,1.009239380E1
6.160970835E-2,-5.695955200E0,6.349496155E0,-1.636097717E0,8.685437398E0
7.167870831E-2,-7.348219299E0,3.278632050E0,4.460723877E-1,8.058829665E0
8.174770838E-2,-7.667655029E0,1.747316437E0,1.689835968E0,8.043730103E0
9.181770834E-2,-5.178780670E0,2.096390533E0,5.881269836E-1,5.617874674E0
1.018867084E-1,-2.906805267E0,1.979184265E0,-1.222657471E0,3.723114087E0
1.119557084E-1,-3.174598389E0,8.987310791E-1,-2.310295715E0,4.027810668E0
1.220257083E-1,-4.394860840E0,5.192701721E-1,-1.834285583E0,4.790516352E0
1.320947084E-1,-5.489833832E0,-4.945715332E-1,-3.308120728E-2,5.512165715E0
1.421647083E-1,-5.607638855E0,-2.774630127E0,6.551875305E-1,6.290743721E0
1.522337083E-1,-3.304977264E0,-2.845133514E0,6.909631348E-1,4.415324392E0
1.623027084E-1,-3.215762787E0,-2.353855133E0,3.028202820E-1,3.996681675E0
1.723727083E-1,-4.201013947E0,-1.709295502E0,2.983296204E-1,4.545240352E0
1.824417084E-1,-5.315895538E0,-8.831634521E-1,2.633024597E-1,5.395187786E0
1.925117084E-1,-7.753875732E0,-1.428030396E-1,-5.201683044E-1,7.772615818E0
2.025807083E-1,-7.696544952E0,8.132588196E-1,-2.377206573E0,8.096252541E0
2.126497084E-1,-7.381450195E0,1.404379578E0,-3.418591003E0,8.254989608E0
2.227197083E-1,-7.562872925E0,1.453627167E0,-3.691922607E0,8.540513530E0
2.327887084E-1,-6.937024384E0,7.589218140E-1,-3.548670502E0,7.828878077E0
2.428577084E-1,-8.622070312E0,1.374292145E0,-2.854863281E0,9.185805339E0
2.529277083E-1,-1.144280457E1,1.946851501E0,2.944526825E0,1.197490064E1
2.629967084E-1,-1.412537613E1,3.088078308E0,1.684896240E0,1.455683186E1
2.730667084E-1,-1.640064468E1,3.924538879E0,-1.942061462E0,1.697512163E1
2.831357083E-1,-1.514640289E1,2.222877502E0,-2.784808960E0,1.555988001E1
2.932047084E-1,-1.506123001E1,4.131408691E-1,-3.370840302E0,1.543936201E1
3.032747083E-1,-1.467712875E1,-9.011260986E-1,-4.081861725E0,1.526079067E1
3.133437084E-1,-1.452953568E1,-4.941224670E-1,-4.854554901E0,1.532704366E1
3.234127084E-1,-1.377749954E1,1.543739777E0,-5.030139771E0,1.474804842E1
3.334827083E-1,-1.077833633E1,3.567231903E0,-4.445305939E0,1.219255603E1
3.435517084E-1,-7.063661041E0,4.594695282E0,-3.915407867E0,9.291767905E0
3.536217083E-1,-5.790708160E0,5.893095245E0,-4.025728455E0,9.190612720E0
3.636907083E-1,-5.647306366E0,6.862928467E0,-5.177882538E0,1.028602566E1
3.737597084E-1,-6.145919495E0,7.545808411E0,-6.564598846E0,1.173905912E1
3.838297083E-1,-6.933431854E0,8.120912476E0,-7.188052368E0,1.287205475E1
3.938987084E-1,-7.833210754E0,7.793393555E0,-6.941515045E0,1.304916875E1
4.039687084E-1,-7.802075500E0,6.757397919E0,-6.201753387E0,1.204145148E1
4.140377083E-1,-7.422015839E0,5.600154419E0,-5.498366089E0,1.080185532E1
4.241067084E-1,-7.245682526E0,4.054768066E0,-5.164859619E0,9.778386074E0
4.341767083E-1,-5.765261078E0,2.292482758E0,-4.728516998E0,7.800806721E0
4.442457084E-1,-6.231242065E0,1.031205597E0,-4.038152618E0,7.496561827E0
4.543147084E-1,-6.663842468E0,4.589456177E-1,-3.169059906E0,7.393265057E0
4.643847083E-1,-6.630461884E0,6.583309937E-1,-2.296224976E0,7.047628936E0
4.744537084E-1,-6.651867371E0,7.517367554E-1,-1.948647766E0,6.972063954E0
