"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.387023333E-1,6.353088684E0,6.816824341E-1,1.227746887E0,6.506442130E0
6.487713333E-1,5.135071564E0,8.075706482E-1,9.743238831E-1,5.288708476E0
6.588403333E-1,4.441414032E0,7.893086243E-1,4.312532043E-1,4.531572137E0
6.689093333E-1,4.118685150E0,6.991960144E-1,2.674937439E-1,4.186167141E0
6.789783332E-1,3.751798096E0,6.460565186E-1,2.103126526E-1,3.812821709E0
6.890483333E-1,4.704866180E0,5.866300964E-1,2.776725769E-1,4.749421302E0
6.991173333E-1,6.209237823E0,5.204676819E-1,2.586621094E-1,6.236379322E0
7.091863332E-1,8.287815399E0,5.292993164E-1,1.218466187E-1,8.305593805E0
7.192553333E-1,1.028855484E1,5.144801331E-1,-4.221221924E-2,1.030149661E1
7.293243333E-1,1.124057510E1,3.791615295E-1,4.101470947E-2,1.124704292E1
7.393933333E-1,1.118713623E1,-1.796264648E-3,2.679428101E-1,1.119034466E1
7.494633333E-1,9.724378052E0,-6.002517700E-1,1.841171265E-1,9.744625688E0
7.595323332E-1,7.220983887E0,-1.228794708E0,-1.222956848E-1,7.325810601E0
7.696013333E-1,7.594606934E0,-1.383273468E0,-4.421804810E-1,7.732206900E0
7.796703333E-1,1.201745956E1,-1.283580780E0,-1.221459961E-1,1.208643180E1
7.897393333E-1,1.822864334E1,-1.795516205E0,3.234773254E-1,1.831971490E1
7.998083333E-1,1.975516891E1,-2.862198029E0,-1.404080200E-1,1.996192853E1
8.098783332E-1,1.725761261E1,-3.034639435E0,-2.626288605E0,1.771811563E1
8.199473333E-1,1.570040085E1,-3.150199127E0,-3.385809174E0,1.636734692E1
8.300163333E-1,1.433658691E1,-3.068618774E0,-2.862796783E0,1.493819771E1
8.400853333E-1,1.320000046E1,-2.450404358E0,-3.148253174E0,1.378970600E1
8.501543333E-1,1.205263641E1,-1.842967529E0,-1.908980255E0,1.234126328E1
8.602233332E-1,1.192944260E1,-1.440903625E0,-1.798659668E0,1.215001977E1
8.702933333E-1,1.190085205E1,-1.367855530E0,-1.705553284E0,1.210000910E1
8.803623333E-1,1.281649796E1,-1.142723694E0,-1.711989899E0,1.298072982E1
8.904313333E-1,1.314491501E1,-7.518864441E-1,-1.992057495E0,1.331624635E1
9.005003333E-1,1.301528458E1,-2.365081787E-1,-2.247426453E0,1.321001493E1
9.105693332E-1,1.400158356E1,4.340972900E-3,-1.873504028E0,1.412637173E1
9.206383333E-1,1.325718155E1,6.900650024E-2,-1.752555542E0,1.337269888E1
9.307083333E-1,1.119477036E1,2.115101624E-1,-9.714797974E-1,1.123883414E1
9.407773333E-1,1.075483521E1,1.006806335E0,-3.776646423E-1,1.080845826E1
9.508460417E-1,8.753796387E0,2.526146851E0,2.324665833E-1,9.113967841E0
9.609150416E-1,6.647975464E0,3.487298126E0,3.966751099E-2,7.507223155E0
9.709840416E-1,5.133125610E0,3.714974670E0,-1.597178650E-1,6.338416611E0
9.810530416E-1,4.224814453E0,4.127666473E0,-4.760101318E-2,5.906687188E0
9.911220416E-1,4.619244232E0,4.127516785E0,-9.131011963E-2,6.195332890E0
1.001192042E0,5.811215515E0,3.898792419E0,-3.757186890E-1,7.007993481E0
1.011261042E0,6.214925995E0,3.119512939E0,-5.668711853E-1,6.976962738E0
