"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.356327917E-1,-6.892267456E0,-3.238515472E0,3.906576233E0,8.558777425E0
6.457007917E-1,-7.062613220E0,-2.820285187E0,4.118984528E0,8.648730980E0
6.557697917E-1,-7.117099915E0,-2.338586884E0,4.355941772E0,8.665813784E0
6.658377917E-1,-7.136709137E0,-1.743274841E0,4.600533142E0,8.668132998E0
6.759067917E-1,-6.957082672E0,-1.272054749E0,4.888833618E0,8.597663446E0
6.859747918E-1,-6.803502045E0,-9.934840393E-1,5.283862152E0,8.671438742E0
6.960437917E-1,-6.583908691E0,-7.722441101E-1,5.790558472E0,8.801976030E0
7.061127917E-1,-6.512058105E0,-7.111711121E-1,6.079457703E0,8.937139983E0
7.161807917E-1,-6.672524414E0,-8.701405334E-1,6.100114746E0,9.082462580E0
7.262497917E-1,-7.044051819E0,-1.090182953E0,6.384523315E0,9.569185068E0
7.363177917E-1,-7.433841248E0,-1.301693115E0,6.587950287E0,1.001785854E1
7.463867917E-1,-7.845185852E0,-1.498234406E0,6.460415497E0,1.027271219E1
7.564547918E-1,-8.306676178E0,-1.611848145E0,6.267167358E0,1.052978206E1
7.665237917E-1,-8.670569458E0,-1.664239197E0,6.108946381E0,1.073627928E1
7.765917917E-1,-8.755742340E0,-1.673370209E0,6.194867706E0,1.085539394E1
7.866607917E-1,-8.350834351E0,-1.807790680E0,6.536457367E0,1.075777934E1
7.967287917E-1,-7.710765381E0,-1.994452515E0,7.185507660E0,1.072684781E1
8.067977917E-1,-8.099057922E0,-2.639012146E0,7.876919861E0,1.160193910E1
8.168657917E-1,-1.015742752E1,-3.531007233E0,7.567513275E0,1.314947159E1
8.269347918E-1,-1.273446854E1,-3.668870544E0,6.455326080E0,1.474104931E1
8.370027917E-1,-1.480960327E1,-3.132685547E0,5.126838684E0,1.598194427E1
8.470717918E-1,-1.547691559E1,-2.307152252E0,3.903732147E0,1.612752282E1
8.571407917E-1,-1.442654984E1,-1.035396881E0,2.891237640E0,1.474980142E1
8.672087917E-1,-1.319655762E1,8.270301819E-1,2.496957550E0,1.345614762E1
8.772777917E-1,-1.145657593E1,2.399360504E0,2.550995178E0,1.197988477E1
8.873457917E-1,-9.965825958E0,2.756667480E0,2.246528320E0,1.058129444E1
8.974147917E-1,-9.533674622E0,2.735860748E0,1.679657135E0,1.005967862E1
9.074827917E-1,-1.025622208E1,2.661465454E0,1.501677246E0,1.070180004E1
9.175517918E-1,-1.223390945E1,2.446961517E0,1.813029785E0,1.260726926E1
9.276197917E-1,-1.407657761E1,2.243534546E0,2.003433838E0,1.439434721E1
9.376887917E-1,-1.506048157E1,2.156116333E0,1.857487335E0,1.532700890E1
9.477567917E-1,-1.543350586E1,1.926643524E0,1.478774872E0,1.562343859E1
9.578257917E-1,-1.500345016E1,1.785936127E0,9.165440369E-1,1.513714430E1
9.678937917E-1,-1.379142059E1,1.686093750E0,3.068618774E-1,1.389749468E1
9.779627917E-1,-1.239751923E1,1.480421448E0,3.667373657E-2,1.248565079E1
9.880307917E-1,-1.100616257E1,1.311722260E0,6.286926270E-2,1.108423124E1
9.980997917E-1,-9.849817200E0,1.258582764E0,2.492317200E-1,9.933028032E0
