"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.156578200E-1,9.546999931E-1,-1.126399994E0,2.069000006E-1,1.490985122E0
6.256578200E-1,1.036899924E0,-8.725000024E-1,-3.023999929E-1,1.388475229E0
6.356578200E-1,1.112999916E0,-7.008999586E-1,-8.238999844E-1,1.552044055E0
6.456578200E-1,1.089999914E0,-6.003000140E-1,-1.285200000E0,1.788909992E0
6.556578200E-1,9.727999568E-1,-5.170999765E-1,-1.707799911E0,2.032317072E0
6.656578200E-1,7.225999832E-1,-3.922999799E-1,-2.130899906E0,2.284028113E0
6.756578200E-1,4.569000006E-1,-3.823999763E-1,-2.466399908E0,2.537344253E0
6.856578200E-1,2.903999984E-1,-3.695999980E-1,-2.645699978E0,2.687129452E0
6.956578200E-1,2.398999929E-1,-3.048999906E-1,-2.580799818E0,2.609797638E0
7.056578200E-1,2.640999854E-1,-1.992999911E-1,-2.398999929E0,2.421708065E0
7.156578200E-1,3.640999794E-1,-1.048999950E-1,-2.275599957E0,2.306930421E0
7.256578200E-1,4.228999913E-1,5.799999926E-3,-2.278899908E0,2.317814236E0
7.356593830E-1,3.714999855E-1,8.399999887E-2,-2.261699915E0,2.293546325E0
7.456578200E-1,2.890000045E-1,1.791999936E-1,-2.371299982E0,2.395557815E0
7.556578200E-1,2.251999974E-1,2.236999869E-1,-2.568799973E0,2.588337308E0
7.656578200E-1,2.081999928E-1,2.305999994E-1,-2.482399940E0,2.501765989E0
7.756578200E-1,2.663999796E-1,2.511000037E-1,-2.122900009E0,2.154234112E0
7.856578200E-1,2.741999924E-1,2.854000032E-1,-1.754799962E0,1.798877901E0
7.956578200E-1,2.640999854E-1,3.321999907E-1,-1.485499978E0,1.544932303E0
8.056578200E-1,2.577999830E-1,3.805999756E-1,-1.304600000E0,1.383220277E0
8.156578200E-1,2.056999952E-1,3.906999826E-1,-1.113899946E0,1.198220370E0
8.256578200E-1,8.699999750E-2,3.422999978E-1,-8.739999533E-1,9.426633579E-1
8.356609450E-1,-1.300000004E-3,2.730000019E-1,-6.238999963E-1,6.810153423E-1
8.456578200E-1,-3.159999847E-2,1.913999915E-1,-2.651999891E-1,3.285780742E-1
8.556578200E-1,-4.199999850E-3,2.131000012E-1,3.590000048E-2,2.161436109E-1
8.656578200E-1,-3.549999744E-2,2.680999935E-1,2.700999975E-1,3.822196554E-1
8.756578200E-1,-8.429999650E-2,3.652999997E-1,3.594000041E-1,5.193447238E-1
8.856578200E-1,-2.275999933E-1,5.044000149E-1,2.744999826E-1,6.177146367E-1
8.956578200E-1,-3.474999964E-1,6.865999699E-1,5.299999844E-3,7.695478258E-1
9.056578200E-1,-3.568999767E-1,9.337999821E-1,-2.230999917E-1,1.024272232E0
9.156578200E-1,-3.465999961E-1,1.170300007E0,-3.728999794E-1,1.276239812E0
9.256578200E-1,-2.401999980E-1,1.309700012E0,-5.328999758E-1,1.434221930E0
9.356578200E-1,-1.799999969E-3,1.363999963E0,-5.766000152E-1,1.480866880E0
9.456578200E-1,2.365999967E-1,1.268100023E0,-1.032999977E-1,1.294112869E0
9.556578200E-1,4.732999802E-1,1.140599966E0,8.470999599E-1,1.497517778E0
9.656578200E-1,6.514999866E-1,9.296000004E-1,1.824799895E0,2.149070276E0
9.756578200E-1,8.043999672E-1,6.699999571E-1,2.694099903E0,2.890351802E0
9.856578200E-1,7.623999715E-1,4.271000028E-1,3.378000021E0,3.489205106E0
9.956578200E-1,4.007000029E-1,3.457999825E-1,3.397699833E0,3.438677402E0
1.005657820E0,-2.906000018E-1,4.653999805E-1,2.508899927E0,2.568194764E0
1.015657820E0,-8.195999861E-1,7.507999539E-1,1.387099981E0,1.777495729E0
1.025657820E0,-1.058799982E0,8.667999506E-1,4.706999958E-1,1.447051500E0
1.035657820E0,-1.086499929E0,7.710999846E-1,1.197999939E-1,1.337695526E0
1.045657820E0,-1.056900024E0,5.945000052E-1,5.485999584E-1,1.330950725E0
1.055657820E0,-9.936999679E-1,3.537999988E-1,1.463299990E0,1.803846148E0
1.065657820E0,-1.014599919E0,1.009999961E-2,2.268699884E0,2.485259377E0
1.075657820E0,-1.276499987E0,-3.301999867E-1,2.859899998E0,3.149208193E0
1.085657820E0,-1.623099923E0,-5.593999624E-1,2.768899918E0,3.257942362E0
1.095657820E0,-1.937500000E0,-6.911000013E-1,2.055000067E0,2.907671016E0
1.105657820E0,-2.104899883E0,-7.525999546E-1,1.246999979E0,2.559691223E0
1.115657820E0,-2.052099943E0,-7.372999787E-1,5.480999947E-1,2.248363636E0
1.125657820E0,-1.664899945E0,-7.579999566E-1,1.934999973E-1,1.839537445E0
1.135657820E0,-1.018999934E0,-7.343999743E-1,4.502999783E-1,1.334344131E0
1.145657820E0,-3.876000047E-1,-7.458999753E-1,9.891999960E-1,1.298120630E0
1.155657820E0,-8.649999648E-2,-7.616999745E-1,1.457399964E0,1.646719089E0
1.165657820E0,1.001999974E-1,-8.621999621E-1,1.758599997E0,1.961148327E0
1.175657820E0,1.133999974E-1,-1.010900021E0,1.502200007E0,1.814216986E0
1.185657820E0,-4.349999875E-2,-1.140900016E0,7.184000015E-1,1.348941681E0
1.195657820E0,-5.079999939E-2,-1.222599983E0,-1.717000008E-1,1.235642444E0
1.205657820E0,5.529999733E-2,-1.244099975E0,-9.243999720E-1,1.550921708E0
1.215657820E0,5.236999989E-1,-1.185099959E0,-1.834699988E0,2.246073830E0
1.225657820E0,1.041599989E0,-1.120499969E0,-2.149299860E0,2.638169935E0
1.235657820E0,1.367599964E0,-1.016199946E0,-1.487599969E0,2.261845631E0
1.245657820E0,1.437699914E0,-9.153999686E-1,-7.206999660E-1,1.850499010E0
1.255657820E0,1.416099906E0,-9.735999703E-1,-2.766999900E-1,1.740631704E0
1.265657820E0,1.076099992E0,-1.175400019E0,-2.910999954E-1,1.619967779E0
1.275657820E0,5.339999795E-1,-1.344699979E0,-7.339999676E-1,1.622384037E0
1.285657820E0,-2.869999968E-2,-1.391799927E0,-1.517099977E0,2.059010215E0
1.295657820E0,-4.371999800E-1,-1.294299960E0,-2.425799847E0,2.784036836E0
1.305657820E0,-6.755999923E-1,-1.165400028E0,-3.334199905E0,3.596036928E0
1.315657820E0,-7.512999773E-1,-9.997999668E-1,-3.861799955E0,4.059254922E0
1.325657820E0,-6.708999872E-1,-7.560999990E-1,-4.019599915E0,4.144753005E0
1.335657820E0,-4.314000010E-1,-5.322999954E-1,-3.925799847E0,3.985141614E0
1.345657820E0,-1.861999929E-1,-3.490999937E-1,-3.315799952E0,3.339321872E0
1.355657820E0,7.279999554E-2,-2.397999913E-1,-2.453099966E0,2.465867660E0
