"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.595583279E-3,5.411995697E0,5.191354523E0,-3.515738983E0,8.282528587E0
1.166458335E-2,5.428760834E0,5.294490051E0,-3.917952576E0,8.535421576E0
2.173358330E-2,5.786217499E0,5.288203125E0,-4.122427368E0,8.856625353E0
3.180258325E-2,5.640570374E0,5.003944244E0,-4.166884918E0,8.615011437E0
4.187158332E-2,3.203638000E0,4.291575623E0,-3.830085297E0,6.584107467E0
5.194058327E-2,2.516866150E0,4.032614136E0,-4.271367645E0,6.390709941E0
6.201058335E-2,4.943769379E0,4.134252777E0,-5.317841492E0,8.355377898E0
7.207958330E-2,5.850583649E0,4.249064026E0,-5.010231171E0,8.796947795E0
8.214858326E-2,6.302643585E0,4.551285553E0,-5.104535065E0,9.300204007E0
9.221758333E-2,7.334597626E0,4.972359924E0,-5.611530762E0,1.048856344E1
1.022865833E-1,7.771688690E0,5.320236511E0,-6.154002686E0,1.125059157E1
1.123555833E-1,7.545808411E0,5.695955200E0,-6.579118652E0,1.151815664E1
1.224245833E-1,6.938521271E0,5.994883575E0,-6.778354340E0,1.140297304E1
1.324945833E-1,6.268963623E0,6.150260468E0,-6.715335388E0,1.105537598E1
1.425635833E-1,5.840255127E0,6.145919495E0,-6.365363159E0,1.060182789E1
1.526325833E-1,5.796995087E0,6.146218872E0,-5.901777191E0,1.030592706E1
1.627015834E-1,6.010900269E0,6.263275452E0,-5.489534454E0,1.027105301E1
1.727705833E-1,6.329886932E0,6.550977173E0,-5.062771912E0,1.042182469E1
1.828395833E-1,6.660399628E0,6.988816681E0,-4.723726959E0,1.074793367E1
1.929085833E-1,6.961124268E0,7.434440002E0,-4.781357117E0,1.125120105E1
2.029785833E-1,7.270381165E0,7.786807251E0,-5.229076080E0,1.186743637E1
2.130475834E-1,7.521259460E0,7.810158691E0,-5.826483765E0,1.230917689E1
2.231165833E-1,7.672295380E0,7.411387939E0,-6.104755096E0,1.229068031E1
2.331855833E-1,8.005053406E0,7.050937500E0,-5.698649597E0,1.209426339E1
2.432545833E-1,8.474327545E0,7.071893921E0,-4.874912567E0,1.206609645E1
2.533235833E-1,8.843160553E0,7.283853149E0,-3.795507202E0,1.206904637E1
2.633925834E-1,8.928483124E0,7.309300232E0,-2.526745605E0,1.181220234E1
2.734625833E-1,8.870403900E0,7.513026581E0,-1.636546783E0,1.173916177E1
2.835315833E-1,8.907227325E0,8.082741852E0,-1.074465637E0,1.207575633E1
2.936005833E-1,8.888366547E0,8.901239777E0,-6.944059753E-1,1.259830660E1
3.036695833E-1,8.638386383E0,9.694440308E0,-7.360194397E-1,1.300559944E1
3.137385834E-1,7.961793365E0,9.581724701E0,-1.071920929E0,1.250394403E1
3.238075833E-1,6.302044830E0,7.408843231E0,-1.411564636E0,9.828491328E0
3.338765833E-1,4.818180542E0,4.927752686E0,-1.145268402E0,6.986361713E0
3.439465833E-1,4.656217346E0,3.594475250E0,1.483415222E-1,5.884098700E0
3.540155833E-1,5.418282623E0,3.155138855E0,1.714085541E0,6.500059771E0
3.640845834E-1,6.287974091E0,3.266656952E0,2.597847748E0,7.547084121E0
3.741535833E-1,6.799610138E0,3.748205566E0,2.181264038E0,8.064840718E0
3.842225833E-1,7.392527161E0,5.084177399E0,3.847000122E-2,8.972167942E0
3.942915833E-1,8.213270416E0,6.947502594E0,-2.594105530E0,1.106593813E1
4.043605833E-1,8.760682068E0,8.299940186E0,-3.689677277E0,1.261951963E1
4.144305832E-1,8.848249969E0,8.639134827E0,-2.865491180E0,1.269398353E1
4.244995833E-1,8.503965912E0,8.320896606E0,-1.363963623E0,1.197560660E1
4.345685833E-1,8.100704498E0,7.898325348E0,-2.710862732E-1,1.131717476E1
4.446375833E-1,7.660769348E0,7.449558563E0,2.918930054E-2,1.068569894E1
4.547065833E-1,7.142996063E0,6.988816681E0,-2.709365845E-1,9.996967440E0
4.647755834E-1,6.584657135E0,6.569987640E0,-8.071215820E-1,9.336696012E0
4.748445833E-1,6.196514282E0,6.268215179E0,-1.192420349E0,8.894333987E0
4.849145833E-1,6.117328949E0,6.139333191E0,-1.066382446E0,8.732141606E0
4.949835833E-1,6.303841095E0,6.137237549E0,-4.572990417E-1,8.809836531E0
5.050525833E-1,6.533014526E0,6.276148682E0,2.409988403E-1,9.062472153E0
5.151215832E-1,6.634952545E0,6.568041687E0,9.089099121E-1,9.380185718E0
5.251905833E-1,6.740183716E0,7.004683685E0,1.431323547E0,9.825698812E0
5.352595833E-1,6.867419128E0,7.521858215E0,1.617835693E0,1.031296218E1
5.453285833E-1,6.797065430E0,7.941286011E0,1.543290710E0,1.056626084E1
5.553985833E-1,6.464756470E0,8.050558777E0,1.374441833E0,1.041602915E1
5.654675832E-1,6.019582214E0,7.988587646E0,1.149160309E0,1.006843940E1
5.755365833E-1,5.675896912E0,7.894732819E0,8.165519714E-1,9.757528844E0
5.856055833E-1,5.604196014E0,7.802674255E0,3.427871704E-1,9.612816525E0
5.956745833E-1,5.716462555E0,7.756121063E0,-1.353186035E-1,9.636060876E0
6.057435833E-1,5.921536102E0,7.767946472E0,-4.824467468E-1,9.779485522E0
6.158125834E-1,6.168971558E0,7.803871765E0,-7.014413452E-1,9.972394124E0
6.258825833E-1,6.390660553E0,7.722141724E0,-8.578660583E-1,1.006021616E1
6.359515833E-1,6.533762970E0,7.588020630E0,-1.057700500E0,1.006910353E1
6.460205833E-1,6.714437256E0,7.541766815E0,-1.464404755E0,1.020325417E1
6.560895833E-1,6.981931000E0,7.652087402E0,-2.146236877E0,1.057866413E1
6.661582083E-1,7.370672607E0,7.950716400E0,-3.067570953E0,1.126724001E1
6.762272083E-1,7.738158417E0,8.413254547E0,-4.190236359E0,1.217456482E1
6.862962083E-1,7.822283478E0,8.873247986E0,-5.539380798E0,1.306167632E1
6.963662083E-1,7.336693268E0,8.929980011E0,-7.039561157E0,1.353244370E1
7.064352083E-1,6.340664520E0,8.547824707E0,-8.198900299E0,1.343470505E1
7.165042083E-1,5.050497437E0,7.793393555E0,-8.490344238E0,1.258294293E1
7.265732083E-1,3.956721954E0,6.570287018E0,-8.040529633E0,1.111190519E1
7.366422083E-1,3.260370026E0,4.632117462E0,-7.447762299E0,9.357119650E0
7.467112083E-1,2.874023438E0,2.719394989E0,-6.843319244E0,7.904817399E0
7.567802083E-1,2.294877777E0,1.487606506E0,-6.212830353E0,6.788129206E0
7.668502083E-1,1.368154907E0,8.848100281E-1,-5.602399750E0,5.834519654E0
7.769192084E-1,5.122348022E-1,5.535488892E-1,-5.308411102E0,5.361718875E0
7.869882083E-1,-2.215393066E-2,2.311193848E-1,-4.453987885E0,4.460035318E0
7.970572083E-1,5.134323120E-1,5.733078003E-2,-2.165995789E0,2.226754884E0
8.071262083E-1,2.486778717E0,4.540058899E-1,6.494993591E-1,2.609988343E0
