"event","experiment time","system time","system time text"
"START",0.000000000E0,1741058478.696,"2025-03-03 22:21:18.696 UTC-05:00"
"PAUSE",3.000610209E1,1741058508.703,"2025-03-03 22:21:48.703 UTC-05:00"
